quadro,x_cm,y_cm
7,8.54,25.76
8,13.14,25.28
9,15.77,24.74
10,45.64,14.26
11,2.98,24.87
12,31.78,5.29
13,19.06,23.01
14,20.83,33.98
15,17.09,33.53
16,45.58,8.31
17,20.55,21.46
18,45.98,23.18
19,24.0,37.29
20,17.18,24.96
21,36.16,12.36
22,21.78,22.79
23,19.83,35.77
24,12.21,29.52
25,21.71,24.46
26,18.2,18.69
27,12.23,37.96
28,25.39,35.89
29,20.53,24.9
30,29.67,26.16
31,11.49,7.65
32,17.76,33.69
33,5.54,9.45
37,22.73,25.49
38,10.23,37.1
39,23.47,14.78
43,34.61,11.51
44,23.35,24.57
45,14.48,31.63
46,45.16,36.68
47,19.49,3.35
48,24.0,37.59
49,16.59,33.33
50,40.76,5.25
51,22.06,15.76
52,22.98,23.24
53,47.05,16.15
54,23.17,17.53
55,4.55,35.97
56,13.29,30.99
57,0.45,14.24
58,19.0,30.45
59,10.69,1.59
60,20.99,19.39
61,19.81,38.2
62,16.13,19.29
66,19.43,17.96
67,41.77,25.24
68,9.37,31.77
69,9.27,32.6
70,30.5,14.57
71,12.14,7.24
72,16.26,27.82
73,14.35,27.88
74,32.61,6.38
77,23.27,23.35
78,22.06,16.64
79,42.53,2.34
80,29.06,8.89
84,28.19,24.43
85,11.31,10.23
86,17.1,36.23
87,22.91,1.12
88,24.0,22.74
89,31.98,6.67
93,19.63,21.08
94,18.55,25.04
95,6.68,7.5
96,30.49,17.9
97,8.17,29.61
98,27.69,9.54
101,11.8,31.55
102,17.18,36.44
103,16.86,21.51
104,4.07,10.25
105,23.05,21.67
106,18.57,25.5
107,21.42,35.87
108,22.19,26.5
109,19.91,6.38
115,22.53,0.33
116,17.21,20.22
117,20.96,21.81
120,24.85,38.31
121,24.0,36.94
122,19.11,22.36
123,36.21,26.03
124,18.48,14.61
125,12.36,22.2
126,11.53,26.14
127,19.59,23.88
128,24.0,22.11
129,5.93,24.59
130,7.05,23.0
131,11.25,28.8
132,19.54,25.59
136,13.86,23.64
137,18.81,17.22
138,40.24,34.02
139,6.71,24.97
140,24.0,28.88
141,12.19,30.35
145,8.42,23.12
146,22.02,17.59
147,19.67,23.56
148,36.8,22.43
149,12.41,31.63
150,5.79,36.45
151,12.06,38.27
152,18.34,29.85
153,22.78,31.19
154,5.27,11.9
155,40.09,2.34
156,44.7,8.64
157,18.36,33.28
158,42.37,10.42
159,9.54,22.57
163,30.54,14.16
164,45.27,11.71
165,41.81,23.4
166,20.35,21.33
167,24.0,23.08
168,23.09,19.07
169,38.59,28.57
170,10.9,24.9
171,28.92,30.64
172,1.6,18.91
173,14.18,27.0
174,6.24,27.88
175,21.24,25.16
176,17.49,23.99
177,28.1,1.75
178,19.45,23.41
179,11.72,15.83
180,0.65,28.95
181,18.31,21.33
182,15.55,21.53
183,18.07,27.48
184,27.12,30.23
185,4.6,10.26
189,12.74,35.1
190,6.13,23.91
191,46.23,37.5
192,24.0,31.78
193,17.31,22.83
194,3.13,24.54
195,27.84,27.33
196,17.44,21.61
197,6.01,33.86
198,20.18,21.3
199,25.34,33.41
200,17.78,17.16
201,21.04,23.22
202,24.0,27.85
203,13.16,33.57
206,16.03,23.16
207,10.72,29.85
208,24.0,38.45
209,3.24,6.84
210,7.5,23.95
211,11.74,13.65
212,41.45,1.71
213,14.6,31.44
214,7.19,26.86
215,18.06,18.2
216,20.61,23.61
217,13.41,34.79
218,14.94,1.41
219,10.65,3.39
220,39.69,18.9
221,21.66,37.3
222,21.8,31.69
223,11.87,20.11
224,12.83,24.14
228,6.74,32.7
229,36.28,37.86
230,4.89,6.71
231,5.15,10.4
232,16.39,22.72
233,5.98,13.61
234,42.28,30.34
235,12.21,23.68
236,3.82,24.26
237,18.64,25.41
238,21.51,15.46
239,16.34,22.85
240,45.09,3.32
241,18.82,29.78
242,16.79,31.99
243,24.0,30.89
244,18.81,21.79
245,23.47,33.92
246,10.49,3.93
247,9.49,15.78
248,19.53,22.72
249,16.8,23.77
250,0.09,34.92
251,24.0,36.07
252,44.85,6.13
253,31.63,3.22
254,3.71,24.23
255,27.92,22.79
258,17.79,22.32
261,21.52,21.77
262,32.31,1.48
263,17.04,14.46
264,10.25,37.71
265,18.11,23.58
266,44.11,32.11
267,24.0,23.96
268,37.95,34.59
269,5.85,29.81
270,30.25,22.85
271,12.16,25.86
272,24.0,30.57
273,40.63,13.54
274,14.14,18.87
275,17.73,20.77
276,24.0,38.41
277,1.55,7.48
278,33.45,30.21
279,11.29,34.32
280,10.6,30.21
281,20.46,23.72
282,1.44,19.43
283,36.76,14.69
284,9.35,37.0
285,24.0,35.76
286,42.56,7.42
287,29.65,1.18
288,22.86,29.53
289,5.43,30.28
290,8.92,38.17
291,8.95,21.45
292,44.1,34.3
293,31.49,9.41
294,36.37,22.67
295,28.02,4.06
296,4.45,22.08
297,25.54,10.96
298,34.23,26.67
299,7.56,24.04
300,18.34,24.11
301,17.54,17.66
302,9.72,21.77
303,9.8,5.23
304,33.39,9.1
305,21.0,21.93
306,10.57,19.76
307,0.79,0.4
308,25.01,30.5
309,31.76,13.32
313,15.92,21.86
314,41.34,37.53
315,8.84,29.81
316,19.81,20.75
317,28.49,30.61
318,39.65,13.83
319,43.19,1.91
320,15.48,26.77
321,39.84,33.77
324,24.0,23.35
325,46.54,8.64
326,24.0,22.36
327,21.64,21.61
328,21.35,24.05
329,9.26,34.45
330,22.44,24.16
331,40.48,4.83
332,21.47,32.29
333,19.7,30.7
334,40.04,29.58
335,17.52,25.17
336,2.77,3.69
337,16.23,23.5
338,17.17,17.44
339,22.11,34.18
340,13.46,5.14
341,11.52,31.8
342,22.55,25.63
343,19.32,38.54
344,14.14,24.22
345,46.2,14.57
346,16.8,24.29
347,22.2,27.74
348,31.71,32.83
349,20.87,28.78
350,47.34,22.06
351,22.87,24.39
352,10.31,34.68
