quadro,x_cm,y_cm
4,6.19,38.52
5,23.0,24.4
6,7.97,37.82
7,11.84,21.18
8,6.13,37.92
9,42.43,5.67
10,1.76,13.82
11,13.08,28.03
12,15.31,35.08
13,13.71,37.23
14,36.1,28.77
18,12.26,33.27
19,3.12,12.15
20,46.36,5.33
21,19.93,23.98
22,20.14,20.85
23,3.67,23.47
24,42.01,21.01
25,11.71,13.85
29,37.08,0.17
30,39.28,9.26
31,17.7,28.68
32,5.41,26.52
33,11.82,5.01
34,38.97,27.3
35,36.34,9.31
36,13.83,37.17
37,7.6,5.78
38,17.81,21.84
39,39.6,10.3
40,46.19,6.15
41,13.84,33.94
42,8.25,29.74
43,17.51,22.4
44,2.5,34.6
45,7.08,15.7
46,43.71,16.59
47,6.67,36.44
48,6.97,36.2
49,37.12,13.25
50,41.53,14.6
51,25.55,18.63
52,19.84,8.87
53,30.53,34.32
54,7.32,3.11
55,12.44,30.39
56,11.37,10.24
57,21.39,23.03
58,13.05,7.61
59,13.97,0.43
60,38.43,25.35
61,6.68,33.98
62,22.59,37.79
63,12.92,36.41
67,38.84,14.51
68,10.85,14.56
69,2.22,12.52
70,47.39,27.76
71,24.0,37.06
72,4.0,17.92
73,23.35,24.24
74,3.53,28.01
75,21.87,17.98
76,43.97,22.77
80,16.34,24.44
81,7.85,11.49
82,11.34,25.54
83,15.67,34.35
84,26.6,23.6
85,1.81,16.99
86,20.3,27.08
87,15.71,4.39
88,10.26,25.38
89,17.88,26.01
90,2.74,35.49
91,12.46,29.05
92,16.65,26.66
93,10.52,17.35
94,19.77,26.24
95,13.14,28.26
96,22.48,8.26
99,10.38,4.71
100,3.71,32.42
101,24.0,27.49
102,16.82,21.7
106,18.18,3.24
107,20.46,30.43
108,6.26,35.99
113,22.01,9.84
114,21.47,31.78
115,19.27,32.97
116,33.34,14.69
117,33.68,39.52
118,4.91,34.83
119,22.97,18.09
120,36.8,18.22
121,5.46,29.69
124,26.32,33.27
125,22.72,35.87
126,32.32,34.03
127,5.91,25.98
128,18.8,36.74
129,4.42,6.01
130,20.49,19.69
133,15.9,25.69
134,10.22,35.14
135,19.4,25.81
136,42.59,33.32
137,9.14,11.72
138,20.58,34.37
139,12.38,37.39
140,14.04,32.71
141,18.83,1.16
142,38.84,10.81
143,11.4,3.63
144,17.39,25.01
145,34.6,28.9
146,18.55,26.01
147,18.44,23.24
150,18.05,33.41
151,42.28,22.74
152,12.38,37.02
153,24.0,27.75
154,9.59,32.51
157,8.91,29.96
158,20.83,1.61
159,43.51,10.52
160,17.4,22.66
161,25.59,28.42
162,20.95,36.39
163,33.12,25.2
164,18.73,37.54
165,21.89,24.23
166,28.7,29.54
167,12.62,16.43
168,23.18,25.59
169,17.55,27.6
170,23.39,23.25
171,22.65,38.23
172,8.47,12.52
173,34.44,37.48
174,24.0,24.32
175,14.91,26.99
176,26.31,34.46
177,18.56,34.37
178,24.0,30.12
179,36.69,37.21
180,31.61,9.62
181,15.43,36.16
185,11.97,3.28
186,34.48,25.69
187,23.0,27.51
188,14.51,33.69
189,21.63,32.34
190,24.0,31.07
191,16.71,21.15
192,26.47,0.01
193,10.44,31.91
194,19.06,17.19
195,3.94,37.56
196,6.75,34.65
197,22.39,24.96
198,43.97,4.73
199,36.71,14.6
200,47.1,38.62
201,31.8,29.2
202,12.8,13.14
205,23.57,24.02
206,5.4,25.23
207,16.32,18.76
208,20.18,28.73
209,24.0,30.46
210,46.07,4.41
211,4.53,17.24
212,45.41,2.79
213,36.17,6.49
214,10.67,16.03
215,37.18,5.58
216,16.0,24.66
217,15.05,31.17
218,43.32,26.28
219,40.39,12.46
220,23.2,23.54
221,20.52,30.18
222,1.61,5.11
223,11.49,12.22
224,18.74,27.69
225,15.56,27.38
226,21.65,36.25
227,19.34,25.01
228,40.24,28.66
229,11.45,19.41
230,38.74,9.2
231,23.54,35.0
232,14.51,25.9
233,11.78,28.68
